FeatureID	RE	SE_RE	CI_RE_lower	CI_RE_upper	Zscore	p-value	tau2	I^2	FDR_Qvalue	BedarfJR_2017_CohenD	BedarfJR_2017_SE_d	BedarfJR_2017_pvalue	BedarfJR_2017_Qvalue	BoktorJC_2023_CohenD	BoktorJC_2023_SE_d	BoktorJC_2023_pvalue	BoktorJC_2023_Qvalue	DuruIC_2024_CohenD	DuruIC_2024_SE_d	DuruIC_2024_pvalue	DuruIC_2024_Qvalue	JoS_2022_CohenD	JoS_2022_SE_d	JoS_2022_pvalue	JoS_2022_Qvalue	MaoL_2021_CohenD	MaoL_2021_SE_d	MaoL_2021_pvalue	MaoL_2021_Qvalue	NishiwakiH_2024_CohenD	NishiwakiH_2024_SE_d	NishiwakiH_2024_pvalue	NishiwakiH_2024_Qvalue	QianY_2020_CohenD	QianY_2020_SE_d	QianY_2020_pvalue	QianY_2020_Qvalue	WallenZD_2022_CohenD	WallenZD_2022_SE_d	WallenZD_2022_pvalue	WallenZD_2022_Qvalue
s__Acidaminococcus_intestini	0.179156922050508	0.0591402985815349	0.0632440667957549	0.295069777305262	3.02935437168127	0.00245077026220632	0.00190025209243994	0.127982696045048	0.043504668055852416	0.07643858364334381	0.26986604141911336	0.778201901185442	0.8655718274281939	0.1437256029245141	0.1287329371012593	0.2767085604069823	0.6229119535513851	0.08012584962965874	0.17415741264840254	0.6461035780026624	0.7911637309125784	NA	NA	NA	NA	-0.10961004040815264	0.2296271794035639	0.6341787773988944	0.7771544290159241	0.0030453788812888466	0.15570556394632795	0.9845422309104679	0.9916386868521015	0.22645540682891904	0.22721694287077082	0.3204027325541156	0.4673981241888537	0.3352529678193143	0.08377161980844872	1.6782553959661796e-4	0.010089003186828451
s__Actinomyces_sp_ICM47	-0.252278483322753	0.0839613165591084	-0.416839639873172	-0.087717326772334	-3.00469899307915	0.0026584379630108	0.022966343412247	0.507525658055877	0.04613406657379499	-0.09734819982308306	0.2699272799431726	0.7198716060669652	0.8321989258738866	-0.017537480463837407	0.1285695269990505	0.8942825279578951	0.941346260512448	-0.15790808264815234	0.17435866548537277	0.36605333545384067	0.5814683961628841	-0.6315328202253903	0.16514001808564746	1.3625229445283287e-4	0.04588977277171411	-0.26950377960288263	0.23049420819168315	0.24376645117763177	0.5024203178133837	-0.4746130645579804	0.1578823709416305	0.0028930775757029827	0.07816569595444786	NA	NA	NA	NA	-0.15987619120014543	0.0833220726133753	0.07137764176454903	0.4687946533090857
s__Actinomyces_sp_oral_taxon_448	0.358984742520985	0.0653819475320248	0.230838480119129	0.487131004922841	5.4905789146943	4.00618441746755e-8	0	0	4.877930146708489e-6	0.09346390604438375	0.26991479056882417	0.7305932205691676	0.8378227044407547	NA	NA	NA	NA	NA	NA	NA	NA	0.31011140007075155	0.16213718230148358	0.056495504978445646	0.5024994098842819	NA	NA	NA	NA	0.5339110980800311	0.15845529026812283	8.396999920905526e-4	0.03669982906607532	NA	NA	NA	NA	0.3487044242403705	0.08381910881985803	9.148421697120551e-5	0.006137514673862346
s__Agathobaculum_butyriciproducens	-0.387136047460539	0.124596874024653	-0.631341433135133	-0.142930661785944	-3.10710882990482	0.00188926833007614	0.0912825515792485	0.662870825027445	0.03590930588949882	0.44148307243141754	0.2730339993697334	0.10780360448811994	0.5642629669931086	-0.2799502953266676	0.12919527570270128	0.03472638673995223	0.6229119535513851	-0.6370703625744714	0.1784488760630698	3.6447485450270643e-4	0.43803231447441116	-0.8136152547983354	0.1677069917546112	1.2811457011304829e-6	0.002157449360703733	-0.5281544104345616	0.2334210321010201	0.02406484508298747	0.4955324438215166	-0.5444536858107755	0.158563969121201	6.663604020738809e-4	0.033007051916059564	-0.15999655023750295	0.2268542485037475	0.4819665516469288	0.624169529631305	-0.353765151332819	0.08383745157829273	7.24331345697001e-5	0.0055073326651161976
s__Akkermansia_muciniphila	0.315704396725925	0.0586227832476167	0.200805852887099	0.430602940564752	5.38535325749414	7.23025026467982e-8	0.00348043755230601	0.157206967016592	7.897412913078264e-6	0.6580951349670892	0.2769733954535105	0.01807723965600438	0.5642629669931086	0.3345018610461457	0.1294630311231201	0.011800177299858888	0.47755972282471154	0.206125525674653	0.17454924683121215	0.2385529478223027	0.5532400152755883	0.2610133536333242	0.16185615741124265	0.10783536878553207	0.5024994098842819	0.29954492667859267	0.23073813024422185	0.19559795860183948	0.5024203178133837	0.5644673315916302	0.1587759125428912	4.25686407689611e-4	0.030726037771022213	0.570852569821181	0.23105909808297787	0.013748564591617355	0.4673981241888537	0.18012934552501494	0.0833578114353267	0.04228419237264027	0.3695411601608906
s__Alistipes_communis	0.191101383495111	0.0701493093972268	0.0536112635361895	0.328591503454033	2.724209049771	0.00644556937884141	0.0126170458714897	0.250038905102741	0.0937958198986629	0.688716609069393	0.2776498277792193	0.013578224111472907	0.5642629669931086	0.11638572072046006	0.12867585473984355	0.37820927445527075	0.6229119535513851	0.02898929989027917	0.17409671585445013	0.8680085967397194	0.9307562061425907	-0.004619936221436642	0.1611715599933317	0.9771981614402616	0.9853902418355692	0.04175881730346378	0.22947995322559686	0.8560497252233282	0.9135362761142378	0.43021687993384994	0.15749636145028764	0.006796901848740611	0.12785058414213352	0.3795763016382972	0.2285226009973551	0.09771027775128671	0.4673981241888537	0.16866422034561543	0.0833370589654843	0.05718734941122847	0.4379273875034402
s__Alistipes_ihumii	0.246575820578773	0.0737557945659638	0.102017119578349	0.391134521579197	3.34313828533495	8.2836608953957e-4	0.0159753201016084	0.379221342630417	0.018958995312469556	0.46122944042696923	0.273330785365902	0.0932914922674504	0.5642629669931086	0.05065430438869001	0.12858767176871697	0.7011467755159164	0.8344601494279608	0.24044448163057985	0.1747154787601269	0.16958353305202145	0.5532400152755883	0.11253261697158698	0.16129885753966755	0.48664908307514	0.6279824183130542	0.626714464722313	0.2350201607213998	0.00782849441334301	0.33903142206348696	0.39709838535209335	0.15723253229725467	0.012337375666177828	0.17460324038038336	0.5513011176814876	0.23075446219641027	0.017198097808839533	0.4673981241888537	0.09871582883439985	0.0832399327475752	0.2651606376559949	0.6530779331963468
s__Alistipes_indistinctus	0.280452712904654	0.0688570460210579	0.145495382621563	0.415410043187744	4.07297043818705	4.64173178211358e-5	0.011348418046028	0.207219323403321	0.0019508484793747634	-0.12172886334348743	0.270017267546882	0.6539366985388959	0.7919745091046757	0.18056860161465474	0.12882878492291497	0.17206039828998548	0.6229119535513851	0.38096752984150983	0.17565962554104111	0.030411269888311037	0.5532400152755883	0.11019479855664831	0.16129361651872676	0.49573319344600064	0.6332275012316413	0.7403970201642796	0.23718622215268714	0.0018449838034312912	0.2543648695231788	0.39793818241390033	0.157238966547354	0.012157585845896194	0.17460324038038336	0.3846085163404766	0.22857654753032688	0.09342108589551544	0.4673981241888537	0.2589112116178411	0.08353709174425794	0.0035757117155189072	0.07416153202330741
s__Alistipes_onderdonkii	0.32141918661387	0.0523428165812009	0.21882915126533	0.42400922196241	6.14065515781413	8.21818175577924e-10	0	0	2.084678772049334e-7	0.23937789093726974	0.27073195714964166	0.3792578899486949	0.5896491281684089	0.3548108068095165	0.12957469431312477	0.00761281433940957	0.38589499092399226	0.4967001913623814	0.176751523310955	0.005029391891351016	0.4497924098679732	0.33291705968924445	0.162283956379803	0.0407939023276	0.5002306652589117	0.3064702760198413	0.2307979747641897	0.18557739038852855	0.5024203178133837	0.398341926429098	0.15724206464629414	0.012071986279200718	0.17460324038038336	0.32490502857263165	0.22798159723837993	0.15535819520855912	0.4673981241888537	0.2529569560123466	0.08352130974435962	0.0044157465606225075	0.08324229673371851
s__Alistipes_putredinis	0.242135288603707	0.0955799525815613	0.0548020238998012	0.429468553307614	2.53332714720784	0.0112985449268697	0.0425293472041977	0.664912008786287	0.13702299106530424	0.332366507037629	0.2716236944810087	0.2236577146117276	0.5642629669931086	0.0333777280112451	0.12857600737069463	0.8003439864811462	0.8941606900299311	0.492905254541688	0.17671127307145418	0.005363770349957552	0.4497924098679732	0.07554364667513527	0.16122882096255836	0.6403611645467542	0.7456086069399249	0.7584479115099224	0.23756127937365518	0.0014464844169245134	0.2543648695231788	0.33801030700869644	0.15681337593925165	0.032717073688761575	0.29789337533214605	0.3729560951543735	0.2284526940403521	0.10359586427600131	0.4673981241888537	-0.06629302907025339	0.08321212835852489	0.45414792580596386	0.6530779331963468
